年齢,性別,身長,体重,今の時間帯,空いた時間,食べたカロリー,これから食べるカロリー,食べれたか
56,女性,162.8,58.7,2023-08-22 12:11:00,6.9,476.4,642.2,1
47,女性,158.2,56.0,2023-08-22 22:49:00,13.8,703.4,656.7,1
42,男性,172.4,66.1,2023-08-22 23:10:00,7.5,414.4,799.5,1
18,男性,166.3,61.1,2023-08-22 02:10:00,11.3,409.4,598.9,1
66,男性,173.0,66.4,2023-08-22 16:58:00,18.9,584.3,622.2,1
25,男性,165.8,60.7,2023-08-22 16:22:00,17.1,313.8,602.0,1
50,男性,170.6,64.2,2023-08-22 18:45:00,22.4,373.7,471.3,1
73,女性,159.2,56.0,2023-08-22 14:14:00,20.4,777.7,561.9,1
58,男性,170.1,64.3,2023-08-22 17:32:00,10.8,408.0,439.8,1
54,男性,165.0,60.3,2023-08-22 14:41:00,16.6,590.0,582.7,1
18,男性,170.9,65.0,2023-08-22 10:40:00,1.9,680.1,412.1,0
28,女性,158.2,55.2,2023-08-22 23:08:00,12.4,475.5,306.5,1
57,女性,159.1,56.5,2023-08-22 14:30:00,10.7,585.4,667.8,1
71,男性,165.3,60.5,2023-08-22 03:30:00,16.4,534.1,609.2,1
70,女性,159.6,56.5,2023-08-22 06:09:00,8.2,799.0,323.9,1
42,女性,160.1,56.8,2023-08-22 22:55:00,4.1,613.2,678.1,0
22,女性,159.1,55.8,2023-08-22 13:53:00,1.4,720.9,379.0,0
59,女性,159.3,55.9,2023-08-22 21:44:00,10.2,339.1,668.8,1
69,女性,157.8,54.8,2023-08-22 10:47:00,3.1,669.5,485.3,0
77,男性,175.0,67.7,2023-08-22 23:45:00,4.3,616.8,492.4,0
70,女性,157.5,55.2,2023-08-22 04:08:00,16.0,690.9,554.2,1
59,女性,159.4,56.1,2023-08-22 13:03:00,9.4,775.1,482.1,1
47,男性,170.1,64.1,2023-08-22 12:45:00,19.6,405.5,676.1,1
31,女性,158.4,55.8,2023-08-22 04:24:00,7.0,586.6,404.3,1
48,女性,156.2,54.1,2023-08-22 18:57:00,9.5,733.6,637.7,1
45,男性,166.5,61.9,2023-08-22 07:23:00,4.8,538.2,515.3,1
22,女性,162.0,58.4,2023-08-22 18:33:00,5.0,516.9,688.3,1
70,女性,163.3,59.6,2023-08-22 12:17:00,20.6,757.5,723.3,1
37,男性,171.5,65.0,2023-08-22 14:54:00,10.8,754.4,544.6,1
33,男性,167.2,62.1,2023-08-22 13:42:00,5.1,380.6,784.0,1
65,男性,172.8,65.9,2023-08-22 19:39:00,13.0,572.0,445.5,1
28,男性,168.6,62.9,2023-08-22 23:08:00,18.5,518.5,543.4,1
62,男性,174.8,68.2,2023-08-22 20:25:00,19.6,598.8,628.9,1
42,女性,158.4,55.9,2023-08-22 19:27:00,14.0,398.5,715.5,1
27,女性,156.5,54.8,2023-08-22 05:40:00,6.6,525.0,466.5,1
40,女性,162.9,59.3,2023-08-22 20:57:00,9.3,741.2,383.1,1
50,女性,155.0,53.6,2023-08-22 10:15:00,18.2,765.1,692.8,1
43,女性,155.2,53.4,2023-08-22 03:46:00,12.9,430.2,355.2,1
20,女性,160.0,57.2,2023-08-22 19:48:00,14.5,330.4,458.7,1
23,男性,174.8,68.0,2023-08-22 01:44:00,20.8,755.9,700.5,1
38,女性,156.1,53.7,2023-08-22 15:20:00,14.1,460.1,648.0,1
68,女性,155.7,53.6,2023-08-22 17:06:00,19.6,715.5,440.5,1
50,男性,166.0,60.8,2023-08-22 08:37:00,13.5,657.0,397.5,1
65,女性,162.2,58.7,2023-08-22 11:59:00,1.5,796.3,732.8,0
35,男性,170.2,64.0,2023-08-22 17:59:00,14.1,322.9,713.8,1
35,男性,174.0,67.6,2023-08-22 16:02:00,12.3,769.4,496.9,1
50,男性,166.9,61.8,2023-08-22 09:20:00,3.2,708.7,785.6,0
49,女性,162.6,59.2,2023-08-22 15:19:00,3.1,481.5,446.2,1
69,女性,159.9,56.6,2023-08-22 20:37:00,9.8,407.5,390.1,1
62,女性,157.6,55.5,2023-08-22 04:52:00,7.4,760.4,353.3,1
67,男性,174.2,67.4,2023-08-22 08:32:00,15.0,632.9,753.0,1
40,男性,166.1,61.3,2023-08-22 18:57:00,6.4,747.0,347.7,1
59,女性,165.0,60.6,2023-08-22 10:38:00,1.5,463.0,483.5,0
55,男性,167.0,62.1,2023-08-22 03:13:00,8.7,717.6,403.8,1
60,女性,159.4,56.9,2023-08-22 01:49:00,22.9,300.0,738.1,1
79,女性,156.5,54.5,2023-08-22 21:22:00,5.3,389.0,754.0,0
73,女性,164.5,60.3,2023-08-22 19:25:00,11.7,784.5,747.6,1
51,女性,159.2,56.7,2023-08-22 17:32:00,22.2,412.3,610.1,1
42,男性,168.5,62.7,2023-08-22 22:38:00,11.0,435.3,574.7,1
64,女性,161.5,57.4,2023-08-22 22:28:00,21.9,693.3,471.5,1
19,女性,156.7,54.5,2023-08-22 16:45:00,8.5,425.8,358.2,1
56,女性,162.0,57.8,2023-08-22 10:54:00,17.2,705.6,616.9,1
65,女性,163.1,59.3,2023-08-22 18:11:00,10.7,590.4,331.6,1
21,男性,174.1,66.7,2023-08-22 01:06:00,17.4,468.1,425.2,1
71,女性,157.4,54.8,2023-08-22 06:19:00,4.1,717.8,476.0,0
68,女性,157.4,54.9,2023-08-22 02:06:00,16.6,701.3,433.1,1
60,女性,160.4,56.8,2023-08-22 04:50:00,10.3,400.5,357.6,1
66,男性,172.9,66.5,2023-08-22 15:40:00,9.2,665.5,487.8,1
44,男性,170.3,64.1,2023-08-22 04:12:00,21.2,717.1,735.8,1
35,男性,170.1,64.1,2023-08-22 13:27:00,13.5,550.7,557.0,1
36,女性,156.6,54.5,2023-08-22 14:24:00,10.5,747.4,693.9,1
43,男性,168.9,63.4,2023-08-22 13:15:00,8.0,369.7,446.8,1
47,男性,172.2,65.9,2023-08-22 14:13:00,12.3,780.2,521.9,1
18,女性,157.0,54.4,2023-08-22 21:33:00,5.7,369.6,651.0,1
32,女性,159.4,56.1,2023-08-22 21:34:00,4.2,366.5,429.3,1
65,女性,163.4,59.1,2023-08-22 01:24:00,7.4,632.0,401.5,1
52,女性,159.5,56.3,2023-08-22 05:31:00,14.4,538.3,314.4,1
67,男性,173.7,67.3,2023-08-22 11:19:00,12.8,330.6,629.0,1
29,男性,165.5,60.8,2023-08-22 07:44:00,10.0,469.2,335.7,1
37,女性,164.2,60.2,2023-08-22 15:29:00,7.3,464.4,362.0,1
72,女性,161.4,58.1,2023-08-22 16:40:00,1.2,762.6,723.4,0
63,女性,158.6,55.4,2023-08-22 21:56:00,3.7,740.4,770.1,0
34,男性,169.7,63.7,2023-08-22 22:30:00,10.7,383.4,792.8,1
52,女性,161.5,57.8,2023-08-22 03:12:00,20.0,537.4,422.3,1
70,女性,157.5,55.4,2023-08-22 16:42:00,9.4,459.2,520.7,1
50,男性,169.7,64.0,2023-08-22 12:45:00,20.9,467.0,327.8,1
51,男性,172.5,65.6,2023-08-22 06:28:00,17.9,665.9,653.6,1
75,男性,168.9,63.7,2023-08-22 11:38:00,21.6,553.5,576.3,1
70,男性,174.9,68.0,2023-08-22 19:17:00,12.7,363.5,617.5,1
32,女性,164.8,60.1,2023-08-22 18:18:00,16.0,773.3,488.3,1
74,男性,170.9,64.5,2023-08-22 09:04:00,8.4,509.4,314.3,1
35,男性,166.6,61.5,2023-08-22 17:48:00,18.1,631.1,455.9,1
34,女性,160.8,57.4,2023-08-22 18:13:00,12.5,469.2,538.3,1
42,男性,165.1,60.3,2023-08-22 18:55:00,14.3,747.3,578.3,1
28,男性,173.4,67.1,2023-08-22 07:02:00,5.7,405.8,385.0,1
38,男性,169.9,64.0,2023-08-22 15:59:00,22.9,491.5,666.8,1
29,男性,165.2,60.1,2023-08-22 10:24:00,5.7,625.7,531.3,1
34,女性,165.0,60.6,2023-08-22 22:52:00,14.5,638.5,453.5,1
36,女性,155.9,53.5,2023-08-22 03:34:00,1.6,306.6,773.8,0
38,女性,156.5,54.0,2023-08-22 12:27:00,14.4,742.0,500.1,1
22,男性,168.9,62.9,2023-08-22 09:51:00,16.6,393.5,747.0,1
53,女性,162.0,58.4,2023-08-22 14:10:00,19.1,341.0,448.0,1
62,男性,172.6,66.2,2023-08-22 02:21:00,20.7,687.7,506.0,1
26,女性,163.3,58.8,2023-08-22 05:46:00,11.8,510.1,665.7,1
56,男性,165.5,60.4,2023-08-22 06:21:00,17.9,541.8,395.9,1
52,男性,167.9,62.9,2023-08-22 14:20:00,19.7,383.9,303.2,1
32,女性,155.2,53.2,2023-08-22 16:38:00,8.4,520.5,459.7,1
78,女性,162.1,58.8,2023-08-22 02:11:00,6.1,642.2,314.9,1
20,女性,157.6,55.3,2023-08-22 04:30:00,13.5,445.7,638.9,1
19,男性,169.9,63.9,2023-08-22 09:56:00,6.8,726.5,446.6,1
18,男性,167.4,62.5,2023-08-22 02:38:00,14.8,353.9,356.9,1
31,女性,156.3,53.8,2023-08-22 08:11:00,13.7,597.6,520.1,1
65,男性,174.3,67.6,2023-08-22 13:23:00,5.1,685.5,538.6,0
28,男性,171.1,65.3,2023-08-22 09:34:00,1.5,405.5,722.6,0
22,男性,170.7,64.8,2023-08-22 23:40:00,14.6,724.9,548.1,1
71,男性,169.8,63.8,2023-08-22 16:05:00,12.6,398.2,611.2,1
77,男性,171.2,65.1,2023-08-22 10:59:00,6.4,377.3,501.4,1
19,男性,171.5,65.7,2023-08-22 11:36:00,6.6,790.2,379.4,1
36,男性,166.2,61.1,2023-08-22 14:51:00,12.2,519.7,468.4,1
22,男性,169.3,63.4,2023-08-22 02:17:00,18.1,550.7,667.0,1
24,女性,162.0,57.8,2023-08-22 14:53:00,3.4,603.3,759.0,0
21,男性,170.4,64.2,2023-08-22 08:27:00,14.6,734.4,500.7,1
64,女性,158.5,55.7,2023-08-22 03:06:00,1.3,526.2,672.0,0
76,男性,174.6,67.5,2023-08-22 11:41:00,17.5,541.9,413.8,1
79,男性,174.1,67.2,2023-08-22 21:09:00,17.1,554.7,558.3,1
51,女性,161.0,57.8,2023-08-22 12:38:00,12.0,417.2,789.0,1
71,男性,174.0,67.2,2023-08-22 10:39:00,1.7,311.4,759.1,0
37,女性,156.9,54.2,2023-08-22 08:07:00,18.1,766.9,653.2,1
38,女性,163.2,59.5,2023-08-22 22:52:00,15.7,305.8,603.4,1
38,女性,159.5,56.1,2023-08-22 13:17:00,1.0,421.5,447.0,0
45,男性,165.5,60.5,2023-08-22 13:57:00,22.5,756.5,486.8,1
27,男性,174.4,67.6,2023-08-22 18:51:00,6.9,453.1,517.0,1
23,男性,169.0,62.9,2023-08-22 09:01:00,7.2,675.8,443.0,1
25,女性,162.2,58.6,2023-08-22 06:32:00,20.7,491.7,352.4,1
22,男性,171.9,65.6,2023-08-22 15:01:00,17.9,560.3,329.5,1
18,男性,174.6,68.0,2023-08-22 05:26:00,4.9,467.4,387.3,1
29,女性,161.4,57.6,2023-08-22 09:20:00,4.4,413.3,375.2,1
37,男性,169.1,63.3,2023-08-22 06:26:00,13.4,334.9,623.5,1
53,女性,159.8,56.9,2023-08-22 09:04:00,4.0,794.6,386.4,0
72,男性,172.1,66.1,2023-08-22 16:48:00,13.7,439.3,473.5,1
58,男性,168.8,62.9,2023-08-22 13:42:00,12.2,631.5,635.5,1
78,男性,173.0,66.3,2023-08-22 14:45:00,17.4,643.7,763.1,1
50,女性,161.3,57.8,2023-08-22 22:32:00,19.1,558.9,564.2,1
49,男性,169.7,64.1,2023-08-22 14:43:00,9.0,380.8,522.8,1
54,男性,169.7,63.4,2023-08-22 03:02:00,9.3,585.9,423.5,1
32,女性,158.5,55.3,2023-08-22 11:47:00,13.5,592.9,310.1,1
78,男性,166.2,61.7,2023-08-22 18:59:00,19.6,383.1,789.8,1
75,男性,166.3,61.7,2023-08-22 21:39:00,6.0,427.6,617.1,1
69,男性,165.1,60.4,2023-08-22 01:02:00,15.8,493.4,685.8,1
72,男性,174.6,67.8,2023-08-22 18:04:00,12.8,353.3,644.4,1
75,男性,172.6,65.9,2023-08-22 16:35:00,13.6,763.1,317.1,1
62,男性,174.2,67.6,2023-08-22 08:36:00,20.6,712.5,656.3,1
38,男性,167.2,62.2,2023-08-22 06:25:00,19.6,654.2,735.8,1
31,女性,161.8,58.0,2023-08-22 13:35:00,6.5,387.7,456.5,1
69,女性,156.7,54.3,2023-08-22 20:08:00,10.5,596.6,639.7,1
45,女性,160.2,56.5,2023-08-22 01:25:00,17.5,693.6,448.8,1
29,女性,163.6,59.3,2023-08-22 20:16:00,12.2,491.6,750.7,1
32,男性,166.0,61.5,2023-08-22 03:40:00,3.2,605.9,719.0,0
43,男性,171.3,65.3,2023-08-22 11:56:00,4.1,571.8,343.8,1
22,男性,171.6,65.7,2023-08-22 15:58:00,12.2,386.2,402.1,1
69,男性,169.9,64.1,2023-08-22 15:35:00,4.5,522.8,458.8,1
57,男性,165.3,60.6,2023-08-22 04:35:00,10.5,304.7,646.7,1
34,男性,168.7,63.4,2023-08-22 23:31:00,3.0,425.8,387.1,1
39,男性,165.7,60.9,2023-08-22 09:03:00,2.2,335.6,764.2,0
36,男性,169.3,63.9,2023-08-22 23:02:00,17.2,350.9,582.6,1
63,男性,170.1,64.5,2023-08-22 05:55:00,8.7,461.4,610.5,1
58,女性,158.2,55.3,2023-08-22 08:30:00,21.5,432.3,438.8,1
78,女性,156.8,54.1,2023-08-22 22:32:00,13.0,493.1,343.5,1
47,男性,168.6,62.9,2023-08-22 08:36:00,4.1,365.7,452.1,1
37,男性,171.8,65.1,2023-08-22 05:26:00,4.6,613.9,714.2,0
57,男性,172.4,65.8,2023-08-22 08:22:00,14.4,755.0,704.3,1
67,男性,170.0,64.5,2023-08-22 09:41:00,22.1,586.0,590.3,1
43,女性,161.0,57.2,2023-08-22 04:15:00,18.8,598.2,620.4,1
47,女性,157.6,55.0,2023-08-22 22:52:00,14.6,718.6,655.5,1
76,女性,156.4,54.6,2023-08-22 21:59:00,20.0,604.9,374.0,1
70,男性,167.6,62.2,2023-08-22 04:57:00,9.6,457.7,719.2,1
54,男性,174.7,67.8,2023-08-22 02:39:00,1.8,684.2,545.2,0
72,男性,169.8,63.8,2023-08-22 13:22:00,21.9,633.6,434.4,1
54,男性,173.9,66.6,2023-08-22 18:48:00,4.3,629.1,314.2,1
33,女性,163.1,58.7,2023-08-22 01:06:00,12.3,592.2,798.6,1
58,男性,166.5,61.4,2023-08-22 18:11:00,20.4,364.8,435.4,1
56,男性,174.3,67.8,2023-08-22 22:22:00,13.6,798.3,461.6,1
20,女性,157.1,55.3,2023-08-22 12:37:00,1.8,397.4,662.5,0
45,男性,174.3,67.5,2023-08-22 06:53:00,16.3,656.8,396.4,1
76,女性,158.3,55.6,2023-08-22 06:57:00,7.7,407.2,425.7,1
76,男性,171.6,65.4,2023-08-22 23:50:00,7.3,427.2,402.9,1
33,女性,164.1,59.4,2023-08-22 04:57:00,21.8,392.8,755.4,1
39,女性,156.6,54.7,2023-08-22 10:33:00,12.3,503.6,466.7,1
53,男性,169.8,63.5,2023-08-22 03:03:00,8.5,311.0,462.5,1
72,男性,166.9,61.6,2023-08-22 02:13:00,9.2,756.7,724.9,1
53,女性,160.6,57.1,2023-08-22 11:49:00,14.4,432.5,747.7,1
54,女性,160.7,57.7,2023-08-22 11:58:00,16.9,535.1,458.3,1
30,女性,161.0,57.8,2023-08-22 21:22:00,12.9,729.5,317.7,1
18,女性,159.4,56.3,2023-08-22 07:26:00,4.3,400.6,450.6,1
68,男性,166.0,61.3,2023-08-22 22:18:00,13.5,326.3,508.4,1
60,女性,156.8,54.3,2023-08-22 17:26:00,18.5,714.1,755.6,1
30,男性,173.2,66.5,2023-08-22 14:12:00,2.7,329.8,492.2,1
35,男性,174.5,67.0,2023-08-22 03:11:00,13.6,721.3,601.7,1
34,男性,173.4,66.8,2023-08-22 21:56:00,21.0,346.4,727.8,1
79,男性,167.0,61.8,2023-08-22 19:20:00,16.3,438.5,658.3,1
77,男性,170.3,64.7,2023-08-22 23:33:00,5.1,436.2,399.7,1
34,男性,169.8,63.8,2023-08-22 07:59:00,3.5,477.2,651.8,0
67,女性,158.9,55.9,2023-08-22 17:12:00,7.8,437.0,618.5,1
40,女性,164.0,60.0,2023-08-22 01:14:00,11.2,692.1,710.2,1
25,男性,174.9,67.9,2023-08-22 21:05:00,6.1,755.4,335.7,1
47,女性,161.7,57.5,2023-08-22 20:38:00,5.7,301.1,369.3,1
44,女性,162.4,58.3,2023-08-22 09:21:00,16.8,752.7,746.1,1
72,男性,168.8,63.3,2023-08-22 19:51:00,10.4,494.3,321.4,1
37,女性,163.8,59.1,2023-08-22 04:26:00,3.1,616.5,778.2,0
77,男性,173.3,66.9,2023-08-22 21:05:00,18.5,637.1,321.2,1
20,女性,161.9,58.5,2023-08-22 08:25:00,13.5,311.5,480.0,1
56,女性,158.4,55.7,2023-08-22 09:53:00,22.4,320.4,739.4,1
22,男性,174.5,67.7,2023-08-22 12:29:00,17.5,524.3,516.7,1
45,男性,166.2,60.9,2023-08-22 18:27:00,7.2,386.7,356.8,1
62,女性,155.2,53.4,2023-08-22 20:03:00,21.7,642.4,377.7,1
44,男性,169.3,63.2,2023-08-22 03:10:00,9.7,566.3,757.2,1
61,女性,160.7,57.1,2023-08-22 04:41:00,18.3,630.7,716.4,1
44,女性,161.8,58.1,2023-08-22 13:55:00,10.5,384.3,640.1,1
37,女性,155.9,54.0,2023-08-22 11:27:00,9.3,439.5,572.4,1
66,男性,172.1,65.2,2023-08-22 21:12:00,6.9,596.2,314.6,1
80,女性,161.1,57.8,2023-08-22 21:24:00,11.9,608.4,649.7,1
24,女性,164.1,59.3,2023-08-22 07:29:00,2.7,697.0,737.9,0
37,女性,157.8,54.8,2023-08-22 01:52:00,19.9,788.2,645.7,1
46,男性,172.2,66.1,2023-08-22 18:40:00,16.4,486.5,325.3,1
64,女性,162.4,58.8,2023-08-22 19:23:00,21.8,435.6,353.0,1
52,男性,168.6,63.0,2023-08-22 06:43:00,8.4,610.0,631.3,1
47,男性,165.5,61.2,2023-08-22 11:24:00,7.4,788.7,467.5,1
70,男性,168.5,63.3,2023-08-22 17:19:00,10.2,695.8,401.4,1
38,女性,161.6,57.8,2023-08-22 16:11:00,9.3,376.3,442.1,1
80,女性,159.0,55.9,2023-08-22 01:16:00,12.6,781.0,715.7,1
50,男性,172.7,65.6,2023-08-22 20:13:00,4.1,778.8,366.8,0
62,女性,155.7,53.5,2023-08-22 10:04:00,20.0,762.6,303.5,1
61,女性,164.0,60.0,2023-08-22 16:07:00,17.9,400.2,344.5,1
74,女性,162.8,59.0,2023-08-22 05:38:00,6.4,552.0,759.4,0
46,女性,161.6,58.3,2023-08-22 11:21:00,20.8,471.5,381.5,1
72,女性,160.5,57.5,2023-08-22 04:29:00,8.1,642.0,428.8,1
78,女性,157.1,54.3,2023-08-22 12:14:00,22.9,393.8,642.1,1
74,男性,172.3,66.1,2023-08-22 06:27:00,13.0,691.9,552.6,1
34,女性,163.1,59.5,2023-08-22 10:51:00,18.9,744.1,308.1,1
35,男性,174.6,67.2,2023-08-22 18:30:00,17.2,792.9,687.3,1
43,男性,174.6,67.6,2023-08-22 22:07:00,3.7,330.8,510.9,1
59,女性,156.4,54.6,2023-08-22 19:17:00,19.4,637.7,774.9,1
44,女性,156.1,53.9,2023-08-22 07:56:00,18.4,355.8,457.8,1
59,女性,156.6,54.0,2023-08-22 12:10:00,4.6,746.6,636.7,0
58,女性,159.4,56.8,2023-08-22 16:54:00,18.2,553.1,317.9,1
51,女性,158.9,55.7,2023-08-22 23:17:00,15.1,706.1,360.7,1
30,女性,160.2,57.4,2023-08-22 04:15:00,5.3,579.4,424.3,1
50,男性,169.3,63.8,2023-08-22 07:43:00,2.5,525.8,452.1,0
41,男性,165.8,61.4,2023-08-22 05:58:00,18.0,568.2,533.5,1
21,女性,160.5,57.5,2023-08-22 16:46:00,18.1,613.8,461.8,1
52,男性,167.6,61.9,2023-08-22 06:53:00,15.5,563.0,565.0,1
41,男性,172.7,66.3,2023-08-22 18:10:00,18.8,785.0,388.5,1
38,男性,170.5,64.9,2023-08-22 22:29:00,14.8,580.0,557.9,1
49,男性,169.8,64.1,2023-08-22 16:29:00,20.0,776.4,631.1,1
50,男性,168.8,63.3,2023-08-22 04:52:00,5.1,728.1,520.7,0
56,女性,156.9,54.8,2023-08-22 09:11:00,6.9,300.9,307.5,1
46,男性,174.7,67.6,2023-08-22 22:43:00,12.4,395.0,684.3,1
58,女性,159.0,55.7,2023-08-22 11:26:00,5.0,505.3,710.7,0
66,女性,160.4,56.8,2023-08-22 21:55:00,12.1,644.4,373.9,1
21,男性,168.2,62.9,2023-08-22 10:42:00,6.6,694.1,767.8,0
33,男性,170.8,64.2,2023-08-22 10:36:00,17.5,641.5,788.9,1
32,男性,168.7,62.8,2023-08-22 09:46:00,13.7,732.0,653.9,1
48,男性,167.0,61.6,2023-08-22 13:09:00,20.2,598.3,571.9,1
52,女性,160.7,57.0,2023-08-22 15:50:00,7.7,604.0,505.6,1
27,男性,171.5,65.6,2023-08-22 18:11:00,9.4,575.7,507.3,1
32,女性,161.7,57.6,2023-08-22 19:22:00,18.4,316.3,784.1,1
24,女性,157.1,54.7,2023-08-22 09:42:00,10.0,695.4,635.8,1
29,女性,162.1,58.5,2023-08-22 02:52:00,6.7,463.2,771.9,1
61,女性,162.8,59.3,2023-08-22 15:12:00,12.2,616.6,420.4,1
24,女性,162.0,58.3,2023-08-22 22:37:00,4.7,658.7,679.3,0
77,女性,159.9,56.5,2023-08-22 11:47:00,21.4,338.9,441.2,1
25,女性,156.9,54.6,2023-08-22 14:50:00,17.4,418.0,717.4,1
79,男性,166.4,61.8,2023-08-22 14:48:00,1.1,530.1,429.6,0
61,男性,167.0,61.4,2023-08-22 08:13:00,10.2,668.1,352.8,1
63,女性,158.8,56.1,2023-08-22 12:34:00,14.2,549.3,776.9,1
80,女性,159.1,55.8,2023-08-22 03:23:00,15.4,782.1,610.3,1
20,女性,165.0,60.7,2023-08-22 05:48:00,7.0,726.3,496.1,1
62,女性,156.4,54.4,2023-08-22 17:49:00,15.8,628.9,328.2,1
36,女性,159.1,56.4,2023-08-22 21:57:00,18.6,534.5,643.6,1
69,女性,155.8,53.5,2023-08-22 06:07:00,15.9,793.1,750.7,1
46,男性,166.2,61.3,2023-08-22 19:58:00,13.0,717.3,688.2,1
18,男性,172.3,65.4,2023-08-22 20:56:00,7.9,511.4,436.3,1
18,女性,161.8,58.4,2023-08-22 12:59:00,11.2,603.0,422.6,1
24,女性,157.2,55.2,2023-08-22 03:56:00,12.4,376.9,442.7,1
58,男性,170.2,64.5,2023-08-22 09:21:00,21.1,520.0,743.2,1
38,男性,166.3,60.9,2023-08-22 06:57:00,4.2,694.9,781.4,0
68,女性,155.2,53.6,2023-08-22 02:16:00,8.6,545.4,759.1,1
50,男性,173.8,66.8,2023-08-22 20:38:00,16.3,734.3,557.7,1
80,女性,161.0,57.4,2023-08-22 03:36:00,4.2,549.9,791.6,0
33,男性,170.5,64.6,2023-08-22 02:35:00,19.7,430.2,332.3,1
62,男性,166.1,61.1,2023-08-22 08:52:00,9.3,511.1,771.1,1
27,女性,157.9,55.3,2023-08-22 07:33:00,3.1,381.1,619.9,0
76,男性,166.3,61.4,2023-08-22 14:51:00,16.6,467.9,622.0,1
51,女性,155.5,53.9,2023-08-22 09:43:00,10.4,740.3,642.9,1
60,女性,163.0,58.5,2023-08-22 13:42:00,22.6,461.2,316.7,1
63,女性,164.2,60.1,2023-08-22 23:26:00,5.1,384.8,420.1,1
65,女性,158.6,56.1,2023-08-22 02:52:00,7.6,684.7,769.6,0
44,女性,157.9,55.2,2023-08-22 17:32:00,15.7,461.7,547.0,1
20,男性,171.1,64.5,2023-08-22 12:10:00,6.8,448.1,598.4,1
44,女性,162.2,58.5,2023-08-22 07:19:00,13.0,452.2,751.5,1
43,男性,170.0,64.6,2023-08-22 22:02:00,1.8,393.1,638.2,0
30,女性,156.4,54.3,2023-08-22 03:24:00,13.5,380.1,783.5,1
19,女性,157.0,55.1,2023-08-22 12:29:00,13.3,684.5,495.5,1
46,女性,161.1,57.7,2023-08-22 08:18:00,12.2,417.2,500.1,1
68,女性,162.2,58.2,2023-08-22 08:56:00,11.8,416.2,442.5,1
39,女性,161.3,57.3,2023-08-22 12:59:00,19.4,396.8,647.2,1
25,女性,156.4,53.9,2023-08-22 20:10:00,18.1,423.7,365.9,1
25,女性,163.5,59.0,2023-08-22 07:08:00,16.2,776.7,344.8,1
49,女性,164.9,60.7,2023-08-22 07:07:00,2.7,598.7,322.0,1
44,女性,160.1,56.9,2023-08-22 21:03:00,18.7,465.6,318.4,1
68,男性,166.9,61.4,2023-08-22 06:59:00,4.7,614.7,424.7,1
73,女性,161.5,57.8,2023-08-22 23:07:00,2.3,721.5,373.2,0
26,女性,163.7,59.3,2023-08-22 19:25:00,16.7,544.9,675.6,1
78,女性,160.4,57.1,2023-08-22 23:47:00,14.1,761.7,524.3,1
53,男性,165.9,61.4,2023-08-22 15:16:00,7.3,511.5,693.2,1
76,男性,171.9,65.2,2023-08-22 05:57:00,17.4,597.3,671.8,1
59,女性,155.6,53.3,2023-08-22 13:33:00,6.7,462.1,521.6,1
24,男性,170.7,64.2,2023-08-22 19:38:00,5.4,512.8,438.0,1
77,女性,161.2,57.4,2023-08-22 01:45:00,12.0,355.5,534.8,1
50,女性,164.3,59.6,2023-08-22 14:33:00,18.0,418.7,427.7,1
32,女性,159.4,56.3,2023-08-22 14:56:00,15.6,303.8,405.2,1
49,女性,158.6,56.2,2023-08-22 06:09:00,10.5,458.3,363.6,1
19,男性,165.8,61.3,2023-08-22 04:26:00,4.9,729.6,709.1,0
39,女性,164.3,59.5,2023-08-22 16:40:00,2.6,389.8,515.2,1
47,女性,158.7,55.8,2023-08-22 22:08:00,3.4,380.0,426.2,1
32,女性,157.7,55.1,2023-08-22 04:48:00,3.3,552.5,402.0,1
64,男性,166.8,61.4,2023-08-22 07:14:00,2.7,636.8,724.9,0
32,男性,166.3,61.0,2023-08-22 06:24:00,1.0,363.1,308.7,1
25,女性,157.3,54.5,2023-08-22 21:26:00,22.3,681.6,722.4,1
78,男性,165.3,60.2,2023-08-22 18:43:00,12.5,619.3,308.5,1
48,男性,168.2,63.2,2023-08-22 07:31:00,1.3,373.3,333.1,1
28,女性,164.3,59.6,2023-08-22 13:45:00,7.1,607.7,305.9,1
42,女性,156.3,53.8,2023-08-22 14:42:00,5.0,474.5,622.2,1
71,男性,166.9,61.8,2023-08-22 09:40:00,1.4,613.2,600.9,0
76,女性,164.1,60.0,2023-08-22 08:29:00,19.7,599.7,524.1,1
73,男性,173.3,66.6,2023-08-22 23:02:00,18.7,621.9,785.7,1
49,男性,168.7,63.1,2023-08-22 14:07:00,12.6,775.5,547.6,1
31,女性,159.8,56.3,2023-08-22 15:39:00,20.4,563.9,766.7,1
64,男性,170.7,64.2,2023-08-22 10:05:00,18.0,566.9,528.0,1
48,女性,157.6,55.6,2023-08-22 09:09:00,8.2,536.7,770.5,1
48,男性,170.4,64.5,2023-08-22 06:33:00,7.3,638.7,559.3,1
66,男性,168.2,63.0,2023-08-22 09:26:00,20.5,687.6,724.3,1
57,女性,156.6,54.1,2023-08-22 17:03:00,10.9,790.5,372.3,1
27,女性,164.1,59.3,2023-08-22 17:50:00,22.1,713.9,419.7,1
54,男性,174.9,68.1,2023-08-22 01:58:00,17.0,753.6,732.0,1
26,男性,167.9,62.3,2023-08-22 09:03:00,2.1,543.7,490.1,0
66,女性,163.1,59.5,2023-08-22 04:04:00,20.8,389.0,637.5,1
41,女性,159.9,56.9,2023-08-22 21:15:00,12.4,444.9,423.1,1
